"Country","Year","pipeline_MCM","LNG_MCM","Total_MCM"
"Denmark","2023-06",0,0,0
"Denmark","2023-07",0,0,0
"Denmark","2023-08",0,0,0
"Denmark","2023-09",0,0,0
"Denmark","2023-10",0,0,0
"Denmark","2023-11",0,0,0
"Denmark","2023-12",0,0,0
"Denmark","2024-01",0,0,0
"Denmark","2024-02",0,0,0
"Denmark","2024-03",0,0,0
"Denmark","2024-04",0,0,0
"Denmark","2024-05",0,0,0
"Denmark","2024-06",0,0,0
"Denmark","2024-07",0,0,0
"Denmark","2024-08",0,0,0
"Denmark","2024-09",0,0,0
"Denmark","2024-10",0,0,0
"Denmark","2024-11",0,0,0
"Denmark","2024-12",0,0,0
"Denmark","2025-01",0,0,0
"Denmark","2025-02",0,0,0
"Denmark","2025-03",0,0,0
"Denmark","2025-04",0,0,0
"Denmark","2025-05",0,0,0
"Denmark","2025-06",0,0,0
"Denmark","2025-07",0,0,0
"Denmark","2025-08",0,0,0
"Denmark","2025-09",0,0,0
"Spain","2019-01",91,0.396553703703704,91.3965537037037
"Spain","2019-02",98,0.396553703703704,98.3965537037037
"Spain","2019-03",0,0.396553703703704,0.396553703703704
"Spain","2019-04",97,0.396553703703704,97.3965537037037
"Spain","2019-05",205,0.396553703703704,205.396553703704
"Spain","2019-06",191,0.396553703703704,191.396553703704
"Spain","2019-07",567,0.396553703703704,567.396553703704
"Spain","2019-08",572,0.396553703703704,572.396553703704
"Spain","2019-09",665,0.396553703703704,665.396553703704
"Spain","2019-10",289,0.396553703703704,289.396553703704
"Spain","2019-11",103,0.396553703703704,103.396553703704
"Spain","2019-12",290,0.396553703703704,290.396553703704
"Spain","2020-01",292,0.400848148148148,292.400848148148
"Spain","2020-02",97,0.400848148148148,97.4008481481481
"Spain","2020-03",476,0.400848148148148,476.400848148148
"Spain","2020-04",195,0.400848148148148,195.400848148148
"Spain","2020-05",195,0.400848148148148,195.400848148148
"Spain","2020-06",388,0.400848148148148,388.400848148148
"Spain","2020-07",286,0.400848148148148,286.400848148148
"Spain","2020-08",184,0.400848148148148,184.400848148148
"Spain","2020-09",471,0.400848148148148,471.400848148148
"Spain","2020-10",273,0.400848148148148,273.400848148148
"Spain","2020-11",385,0.400848148148148,385.400848148148
"Spain","2020-12",145,0.400848148148148,145.400848148148
"Spain","2021-01",234.867,0.508390740740741,235.375390740741
"Spain","2021-02",483.315,0.508390740740741,483.823390740741
"Spain","2021-03",287.278,0.508390740740741,287.786390740741
"Spain","2021-04",194.115,0.508390740740741,194.623390740741
"Spain","2021-05",192.364,0.508390740740741,192.872390740741
"Spain","2021-06",585.905,0.508390740740741,586.413390740741
"Spain","2021-07",196.019,0.508390740740741,196.527390740741
"Spain","2021-08",198.134,0.508390740740741,198.642390740741
"Spain","2021-09",0,0.508390740740741,0.508390740740741
"Spain","2021-10",227.777,0.508390740740741,228.285390740741
"Spain","2021-11",320.52,0.508390740740741,321.028390740741
"Spain","2021-12",373.151,0.508390740740741,373.659390740741
"Spain","2022-01",193.763,0.684524074074074,194.447524074074
"Spain","2022-02",193.328,0.684524074074074,194.012524074074
"Spain","2022-03",291.518,0.684524074074074,292.202524074074
"Spain","2022-04",291.587,0.684524074074074,292.271524074074
"Spain","2022-05",387.573,0.684524074074074,388.257524074074
"Spain","2022-06",778.405,0.684524074074074,779.089524074074
"Spain","2022-07",472.898,0.684524074074074,473.582524074074
"Spain","2022-08",497.979,0.684524074074074,498.663524074074
"Spain","2022-09",476.327,0.684524074074074,477.011524074074
"Spain","2022-10",384.96,0.684524074074074,385.644524074074
"Spain","2022-11",445.01,0.684524074074074,445.694524074074
"Spain","2022-12",485.029,0.684524074074074,485.713524074074
"Spain","2023-01",566.76,0.712918518518519,567.472918518519
"Spain","2023-02",486.117,0.712918518518519,486.829918518519
"Spain","2023-03",485.618,0.712918518518519,486.330918518519
"Spain","2023-04",579.301,0.712918518518519,580.013918518519
"Spain","2023-05",859.45,0.712918518518519,860.162918518519
"Spain","2023-06",682.476,0.712918518518519,683.188918518519
"Spain","2023-07",779.494,0.712918518518519,780.206918518519
"Spain","2023-08",295.467,0.712918518518519,296.179918518518
"Spain","2023-09",289.854,0.712918518518519,290.566918518518
"Spain","2023-10",380.73,0.712918518518519,381.442918518519
"Spain","2023-11",572.729,0.712918518518519,573.441918518519
"Spain","2023-12",487.517,0.712918518518519,488.229918518519
"Spain","2024-01",772.692,0.749224074074074,773.441224074074
"Spain","2024-02",474.719,0.749224074074074,475.468224074074
"Spain","2024-03",665.931,0.749224074074074,666.680224074074
"Spain","2024-04",475.18,0.749224074074074,475.929224074074
"Spain","2024-05",570.644,0.749224074074074,571.393224074074
"Spain","2024-06",505.294,0.749224074074074,506.043224074074
"Spain","2024-07",677.518,0.749224074074074,678.267224074074
"Spain","2024-08",566.3,0.749224074074074,567.049224074074
"Spain","2024-09",299.574,0.749224074074074,300.323224074074
"Spain","2024-10",370.816,0.749224074074074,371.565224074074
"Spain","2024-11",569.595,0.749224074074074,570.344224074074
"Spain","2024-12",487.874,0.749224074074074,488.623224074074
"Spain","2025-01",574.919,0,574.919
"Spain","2025-02",194.815,0,194.815
"Spain","2025-03",390.769,0,390.769
"Spain","2025-04",390.262,0,390.262
"Spain","2025-05",489.654,0,489.654
"Spain","2025-06",290.639,0,290.639
"Spain","2025-07",191.192,0,191.192
"Spain","2025-08",191.394,0,191.394
"Spain","2025-09",0,0,0
"Finland","2019-01",354,0.0169010925925926,354.016901092593
"Finland","2019-02",266,0.0169010925925926,266.016901092593
"Finland","2019-03",248,0.0169010925925926,248.016901092593
"Finland","2019-04",210,0.0169010925925926,210.016901092593
"Finland","2019-05",155,0.0169010925925926,155.016901092593
"Finland","2019-06",140,0.0169010925925926,140.016901092593
"Finland","2019-07",154,0.0169010925925926,154.016901092593
"Finland","2019-08",148,0.0169010925925926,148.016901092593
"Finland","2019-09",173,0.0169010925925926,173.016901092593
"Finland","2019-10",210,0.0169010925925926,210.016901092593
"Finland","2019-11",228,0.0169010925925926,228.016901092593
"Finland","2019-12",243,0.0169010925925926,243.016901092593
"Finland","2020-01",171,0.0254044444444444,171.025404444444
"Finland","2020-02",157,0.0254044444444444,157.025404444444
"Finland","2020-03",150,0.0254044444444444,150.025404444444
"Finland","2020-04",110,0.0254044444444444,110.025404444444
"Finland","2020-05",140,0.0254044444444444,140.025404444444
"Finland","2020-06",98,0.0254044444444444,98.0254044444444
"Finland","2020-07",122,0.0254044444444444,122.025404444444
"Finland","2020-08",174,0.0254044444444444,174.025404444444
"Finland","2020-09",151,0.0254044444444444,151.025404444444
"Finland","2020-10",150,0.0254044444444444,150.025404444444
"Finland","2020-11",152,0.0254044444444444,152.025404444444
"Finland","2020-12",203,0.0254044444444444,203.025404444444
"Finland","2021-01",279,0.0263431481481481,279.026343148148
"Finland","2021-02",284,0.0263431481481481,284.026343148148
"Finland","2021-03",212,0.0263431481481481,212.026343148148
"Finland","2021-04",129,0.0263431481481481,129.026343148148
"Finland","2021-05",97,0.0263431481481481,97.0263431481481
"Finland","2021-06",121,0.0263431481481481,121.026343148148
"Finland","2021-07",138,0.0263431481481481,138.026343148148
"Finland","2021-08",133,0.0263431481481481,133.026343148148
"Finland","2021-09",132,0.0263431481481481,132.026343148148
"Finland","2021-10",128,0.0263431481481481,128.026343148148
"Finland","2021-11",81,0.0263431481481481,81.0263431481481
"Finland","2021-12",231,0.0263431481481481,231.026343148148
"Finland","2022-01",98,0.034627962962963,98.034627962963
"Finland","2022-02",99,0.034627962962963,99.034627962963
"Finland","2022-03",196,0.034627962962963,196.034627962963
"Finland","2022-04",58,0.034627962962963,58.034627962963
"Finland","2022-05",104,0.034627962962963,104.034627962963
"Finland","2022-06",21,0.034627962962963,21.034627962963
"Finland","2022-07",11,0.034627962962963,11.034627962963
"Finland","2022-08",27,0.034627962962963,27.034627962963
"Finland","2022-09",22,0.034627962962963,22.034627962963
