DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2020-08,5025.071,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2020-09,4821.036,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2020-10,5068.080,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2020-11,4908.671,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2020-12,5147.778,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-01,5231.082,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-02,4632.046,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-03,5055.982,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-04,4885.920,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-05,5026.483,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-06,4763.817,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-07,3269.762,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-08,5005.853,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-09,4869.683,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-10,5012.221,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-11,5017.635,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2021-12,5192.534,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-01,4771.900,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-02,4488.998,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-03,4852.934,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-04,4819.831,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-05,5000.845,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-06,3048.891,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-07,1196.241,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-08,952.901,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-09,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-10,0.070,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-11,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2022-12,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-01,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-02,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-03,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-04,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-05,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-06,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-07,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-08,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-09,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-10,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-11,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2023-12,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-01,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-02,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-03,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-04,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-05,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-06,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-07,0.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2024-08,0.000,,
