Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
European Union;Import;271111;Natural gas, liquefied;2021;Russian Federation;        6159587.92;1.0887e+010;Kg
Japan;Import;271111;Natural gas, liquefied;2021;Russian Federation;        3392620.99;6.56687e+009;Kg
China;Import;271111;Natural gas, liquefied;2021;Russian Federation;        2763024.03;4.51812e+009;Kg
France;Import;271111;Natural gas, liquefied;2021;Russian Federation;        2167756.87;4.76033e+009;Kg
Korea, Rep.;Import;271111;Natural gas, liquefied;2021;Russian Federation;        1715064.59;2.8671e+009;Kg
Netherlands;Import;271111;Natural gas, liquefied;2021;Russian Federation;        1599098.91;2.12607e+009;Kg
Spain;Import;271111;Natural gas, liquefied;2021;Russian Federation;        1438244.80;2.74531e+009;Kg
United Kingdom;Import;271111;Natural gas, liquefied;2021;Russian Federation;        1231702.30;2.26532e+009;Kg
Other Asia, nes;Import;271111;Natural gas, liquefied;2021;Russian Federation;        1152817.02;1.76317e+009;Kg
Belgium;Import;271111;Natural gas, liquefied;2021;Russian Federation;         299625.19;8.674e+008;Kg
Portugal;Import;271111;Natural gas, liquefied;2021;Russian Federation;         280939.35;6.30434e+008;Kg
Lithuania;Import;271111;Natural gas, liquefied;2021;Russian Federation;         146607.13;2.19729e+008;Kg
Croatia;Import;271111;Natural gas, liquefied;2021;Russian Federation;          86420.36;1.17326e+008;Kg
Sweden;Import;271111;Natural gas, liquefied;2021;Russian Federation;          78872.93;1.57608e+008;Kg
Finland;Import;271111;Natural gas, liquefied;2021;Russian Federation;          66749.07;1.42253e+008;Kg
Norway;Import;271111;Natural gas, liquefied;2021;Russian Federation;          38456.41;9.42455e+007;Kg
India;Import;271111;Natural gas, liquefied;2021;Russian Federation;          30417.84;7.0653e+007;Kg
Singapore;Import;271111;Natural gas, liquefied;2021;Russian Federation;          28858.95;6.88661e+007;Kg
Estonia;Import;271111;Natural gas, liquefied;2021;Russian Federation;          23803.57;2.66635e+007;Kg
Jordan;Import;271111;Natural gas, liquefied;2021;Russian Federation;          13420.01;2.94699e+007;Kg
Kazakhstan;Import;271111;Natural gas, liquefied;2021;Russian Federation;           3042.86;1.14542e+007;Kg
Mongolia;Import;271111;Natural gas, liquefied;2021;Russian Federation;            642.90;1.0004e+006;Kg
Armenia;Import;271111;Natural gas, liquefied;2021;Russian Federation;              0.16;;
