DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-03,13875.986,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-04,14506.352,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-05,13297.700,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-06,10988.088,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-07,9663.217,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-08,9531.473,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-09,8159.227,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-10,9473.254,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-11,8974.711,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2022-12,9093.552,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-01,9191.344,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-02,8381.197,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-03,8477.776,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-04,8676.152,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-05,8568.720,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-06,6537.823,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-07,6654.722,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-08,6427.094,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-09,4766.360,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-10,6896.124,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-11,7973.001,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2023-12,8735.960,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-01,8138.362,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-02,7075.035,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-03,7138.906,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-04,6931.052,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-05,6220.648,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-06,6357.266,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-07,6411.613,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-08,6018.552,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-09,4955.879,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-10,6641.593,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-11,7528.462,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2024-12,8005.566,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-01,7461.739,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-02,6758.238,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-03,7829.919,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-04,8420.328,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-05,8666.842,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-06,8237.036,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-07,8644.181,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Germany,2025-08,8205.471,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-01,14.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-02,18.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-03,22.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-04,21.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-05,19.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-06,17.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-07,19.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-08,20.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-09,66.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-10,276.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-11,334.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2019-12,309.000,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2020-01,176.150,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2020-02,192.221,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2020-03,233.014,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2020-04,212.504,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Total,Million cubic metres,Denmark,2020-05,231.570,,
