Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
European Union;Import;271111;Natural gas, liquefied;2024;Russian Federation;        7811619.07;1.45347e+010;Kg
China;Import;271111;Natural gas, liquefied;2024;Russian Federation;        4988926.59;8.28358e+009;Kg
Japan;Import;271111;Natural gas, liquefied;2024;Russian Federation;        3620435.14;5.68362e+009;Kg
France;Import;271111;Natural gas, liquefied;2024;Russian Federation;        3346621.88;6.3418e+009;Kg
Spain;Import;271111;Natural gas, liquefied;2024;Russian Federation;        2106916.97;4.04581e+009;Kg
Korea, Rep.;Import;271111;Natural gas, liquefied;2024;Russian Federation;        1242823.05;2.11595e+009;Kg
Belgium;Import;271111;Natural gas, liquefied;2024;Russian Federation;        1153232.88;2.4208e+009;Kg
Netherlands;Import;271111;Natural gas, liquefied;2024;Russian Federation;         802010.87;1.24554e+009;Kg
Other Asia, nes;Import;271111;Natural gas, liquefied;2024;Russian Federation;         214712.12;3.64283e+008;Kg
Portugal;Import;271111;Natural gas, liquefied;2024;Russian Federation;         107484.06;2.16826e+008;Kg
Greece;Import;271111;Natural gas, liquefied;2024;Russian Federation;          84710.25;1.87379e+008;Kg
Italy;Import;271111;Natural gas, liquefied;2024;Russian Federation;          47472.88;6.51623e+007;Kg
Finland;Import;271111;Natural gas, liquefied;2024;Russian Federation;          46470.35;1.05522e+008;Kg
India;Import;271111;Natural gas, liquefied;2024;Russian Federation;          44162.52;6.89339e+007;Kg
Sweden;Import;271111;Natural gas, liquefied;2024;Russian Federation;          18841.01;4.4803e+007;Kg
Norway;Import;271111;Natural gas, liquefied;2024;Russian Federation;           6292.19;1.36889e+007;Kg
Lithuania;Import;271111;Natural gas, liquefied;2024;Russian Federation;           3058.91;7.9226e+006;Kg
Estonia;Import;271111;Natural gas, liquefied;2024;Russian Federation;           2147.53;5.0085e+006;Kg
Kazakhstan;Import;271111;Natural gas, liquefied;2024;Russian Federation;            285.88;1.02144e+006;Kg
Georgia;Import;271111;Natural gas, liquefied;2024;Russian Federation;             84.65;213300;Kg
