Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
European Union;Import;271111;Natural gas, liquefied;2022;Russian Federation;       16583945.55;1.34608e+010;Kg
China;Import;271111;Natural gas, liquefied;2022;Russian Federation;        6746339.28;6.50485e+009;Kg
France;Import;271111;Natural gas, liquefied;2022;Russian Federation;        5721236.65;4.6104e+009;Kg
Japan;Import;271111;Natural gas, liquefied;2022;Russian Federation;        5152846.11;6.86932e+009;Kg
Spain;Import;271111;Natural gas, liquefied;2022;Russian Federation;        4585443.83;3.69643e+009;Kg
Netherlands;Import;271111;Natural gas, liquefied;2022;Russian Federation;        3321634.49;2.91591e+009;Kg
Belgium;Import;271111;Natural gas, liquefied;2022;Russian Federation;        2499253.62;1.68797e+009;Kg
Korea, Rep.;Import;271111;Natural gas, liquefied;2022;Russian Federation;        1480888.73;1.96182e+009;Kg
Other Asia, nes;Import;271111;Natural gas, liquefied;2022;Russian Federation;         816318.67;6.34885e+008;Kg
United Kingdom;Import;271111;Natural gas, liquefied;2022;Russian Federation;         520965.92;3.65856e+008;Kg
Greece;Import;271111;Natural gas, liquefied;2022;Russian Federation;         229137.71;1.334e+008;Kg
Italy;Import;271111;Natural gas, liquefied;2022;Russian Federation;         199737.58;1.37011e+008;Kg
Portugal;Import;271111;Natural gas, liquefied;2022;Russian Federation;         137863.85;2.10836e+008;Kg
Finland;Import;271111;Natural gas, liquefied;2022;Russian Federation;         103393.52;1.86991e+008;Kg
Lithuania;Import;271111;Natural gas, liquefied;2022;Russian Federation;          80517.51;5.09561e+007;Kg
Singapore;Import;271111;Natural gas, liquefied;2022;Russian Federation;          61177.37;6.81016e+007;Kg
Sweden;Import;271111;Natural gas, liquefied;2022;Russian Federation;          34915.68;6.4314e+007;Kg
India;Import;271111;Natural gas, liquefied;2022;Russian Federation;          33825.74;6.57611e+007;Kg
United States;Import;271111;Natural gas, liquefied;2022;Russian Federation;          29941.21;2.41278e+007;Kg
Estonia;Import;271111;Natural gas, liquefied;2022;Russian Federation;          25812.55;1.36808e+007;Kg
Norway;Import;271111;Natural gas, liquefied;2022;Russian Federation;          22815.74;3.22606e+007;Kg
Jordan;Import;271111;Natural gas, liquefied;2022;Russian Federation;          21894.68;1.91231e+007;Kg
Kazakhstan;Import;271111;Natural gas, liquefied;2022;Russian Federation;           3127.20;1.04345e+007;Kg
Mongolia;Import;271111;Natural gas, liquefied;2022;Russian Federation;            642.98;904000;Kg
Georgia;Import;271111;Natural gas, liquefied;2022;Russian Federation;              9.87;19300;Kg
